,GENRE,FILM_ID
2892,Comedy,1231
2893,Drama,1231
2894,Western,1231
2895,Biography,1232
2896,Drama,1232
2897,Action,1233
2898,Adventure,1233
2899,Sci-Fi,1233
2900,Short,1234
2901,Action,1234
2902,Drama,1235
2903,Romance,1235
2904,Action,1236
2905,Adventure,1236
2906,Mystery,1236
2907,Drama,1237
2908,Romance,1237
2909,Thriller,1237
2910,Comedy,1238
2911,Short,1239
2912,Drama,1239
2913,Romance,1239
2914,Drama,1240
2915,Thriller,1240
2916,Comedy,1241
2917,Drama,1241
2918,Drama,1242
2919,Drama,1243
2920,Romance,1243
2921,Drama,1244
2922,Romance,1244
2923,Biography,1245
2924,Comedy,1245
2925,Drama,1245
2926,Drama,1246
2927,Family,1246
2928,Short,1247
2929,Comedy,1248
2930,Romance,1248
2931,Animation,1249
2932,Action,1249
2933,Adventure,1249
2934,Drama,1250
2935,Thriller,1250
2936,Drama,1251
2937,Romance,1251
2938,Comedy,1252
2939,Musical,1252
2940,Romance,1252
2941,Comedy,1253
2942,Drama,1253
2943,Biography,1254
2944,Drama,1254
2945,Family,1254
2946,Family,1255
2947,Comedy,1255
2948,Drama,1255
2949,Drama,1256
2950,Romance,1256
2951,Sci-Fi,1256
2952,Drama,1257
2953,Crime,1258
2954,Drama,1258
2955,Thriller,1258
2956,Animation,1259
2957,Short,1259
2958,Biography,1260
2959,Drama,1260
2960,Romance,1260
2961,Animation,1261
2962,Family,1261
2963,Fantasy,1261
2964,Music,1262
2965,Drama,1263
2966,Mystery,1263
2967,Romance,1263
2968,Biography,1264
2969,Drama,1264
2970,Comedy,1265
2971,Drama,1265
2972,Animation,1266
2973,Adventure,1266
2974,Family,1266
2975,Adventure,1267
2976,Drama,1267
2977,Romance,1267
2978,Drama,1268
2979,Romance,1268
2980,Drama,1269
2981,Drama,1270
2982,Romance,1270
2983,Drama,1271
2984,Romance,1271
2985,Adventure,1272
2986,Comedy,1272
2987,Family,1272
2988,Biography,1273
2989,Crime,1273
2990,Drama,1273
2991,Comedy,1274
2992,Drama,1275
2993,Drama,1276
2994,Adventure,1277
2995,Family,1277
2996,Sci-Fi,1277
2997,Drama,1278
2998,Biography,1279
2999,Drama,1279
3000,Crime,1280
3001,Drama,1280
3002,Mystery,1280
3003,Drama,1281
3004,Drama,1282
3005,Thriller,1282
3006,Crime,1283
3007,Horror,1283
3008,Mystery,1283
3009,Comedy,1284
3010,Drama,1284
3011,History,1284
3012,Action,1285
3013,Adventure,1285
3014,Comedy,1285
